Regional Districts,,,,,,
REGION,POLICING JURISDICTION,TYPE OF POLICING,,,,
Kitimat Stikine,Terrace Prov,RCMP Provincial,,,,
Kootenay Boundary,Grand Forks Prov (6),RCMP Provincial,,,,
Kootenay Boundary,Midway Prov (6),RCMP Provincial,,,,
Kootenay Boundary,Trail And Greater District Prov (6),RCMP Provincial,,,,
Kootenay Boundary,Trail Mun,RCMP Municipal,,,,
Metro Vancouver,Bowen Island Prov,RCMP Provincial,,,,
Metro Vancouver,Burnaby Mun,RCMP Municipal,,,,
Metro Vancouver,Coquitlam Mun (10),RCMP Municipal,,,,
Metro Vancouver,Coquitlam Prov,RCMP Provincial,,,,
Metro Vancouver,Delta Mun (10),Independent Municipal ,,,,
Metro Vancouver,Langley City Mun,RCMP Municipal,,,,
Metro Vancouver,Langley Township Mun (10),RCMP Municipal,,,,
Metro Vancouver,"Maple Ridge Mun (10,11)",RCMP Municipal,,,,
Metro Vancouver,New Westminster Mun,Independent Municipal ,,,,
Metro Vancouver,"North Vancouver City Mun (10,12)",RCMP Municipal,,,,
Metro Vancouver,"North Vancouver District Mun (10,12)",RCMP Municipal,,,,
Metro Vancouver,"North Vancouver Prov (12,13)",RCMP Provincial,,,,
Metro Vancouver,Pitt Meadows Mun (11),RCMP Municipal,,,,
Metro Vancouver,Port Coquitlam Mun (10),RCMP Municipal,,,,
Metro Vancouver,Port Moody Mun,Independent Municipal ,,,,
Metro Vancouver,Richmond Mun,RCMP Municipal,,,,
Metro Vancouver,"Ridge Meadows Prov (11,13)",RCMP Provincial,,,,
Metro Vancouver,Surrey Mun ,RCMP Municipal,,,,
Metro Vancouver,Surrey Prov (14),RCMP Provincial,,,,
Metro Vancouver,University Prov,RCMP Provincial,,,,
Metro Vancouver,Vancouver Mun (10),Independent Municipal ,,,,
Metro Vancouver,West Vancouver Mun (10),Independent Municipal ,,,,
Metro Vancouver,White Rock Mun,RCMP Municipal,,,,
Mount Waddington,Alert Bay Prov,RCMP Provincial,,,,
Mount Waddington,Port Alice Prov,RCMP Provincial,,,,
Mount Waddington,Port Hardy Prov,RCMP Provincial,,,,
Mount Waddington,Port McNeill Prov,RCMP Provincial,,,,
Nanaimo,Gabriola Island Prov,RCMP Provincial,,,,
Nanaimo,Nanaimo Mun (10),RCMP Municipal,,,,
Nanaimo,Nanaimo Prov,RCMP Provincial,,,,
Nanaimo,Oceanside Prov,RCMP Provincial,,,,
Nanaimo,Parksville Mun,RCMP Municipal,,,,
Nanaimo,Qualicum Beach Mun,RCMP Municipal,,,,
North Coast (1),Masset Prov,RCMP Provincial,,,,
North Coast (1),Prince Rupert Mun,RCMP Municipal,,,,
North Coast (1),Prince Rupert Prov,RCMP Provincial,,,,
North Coast (1),Queen Charlotte Prov,RCMP Provincial,,,,
North Okanagan,Armstrong Mun (9),RCMP Municipal,,,,
North Okanagan,Armstrong Prov (7),RCMP Provincial,,,,
North Okanagan,Coldstream Mun,RCMP Municipal,,,,
North Okanagan,Enderby Prov,RCMP Provincial,,,,
North Okanagan,Lumby Prov,RCMP Provincial,,,,
North Okanagan,Spallumcheen Mun (7),RCMP Municipal,,,,
North Okanagan,Vernon Mun,RCMP Municipal,,,,
North Okanagan,Vernon Prov,RCMP Provincial,,,,
Northern Rockies,Northern Rockies Mun (15),RCMP Municipal,,,,
Northern Rockies,Northern Rockies Prov (15),RCMP Provincial,,,,
Okanagan Similkameen,Keremeos Prov,RCMP Provincial,,,,
Okanagan Similkameen,Oliver Prov (16),RCMP Provincial,,,,
Okanagan Similkameen,Osoyoos Mun (9),RCMP Municipal,,,,
Okanagan Similkameen,Osoyoos Prov (16),RCMP Provincial,,,,
Okanagan Similkameen,Penticton Mun,RCMP Municipal,,,,
Okanagan Similkameen,Penticton Prov,RCMP Provincial,,,,
Okanagan Similkameen,Princeton Prov,RCMP Provincial,,,,
Okanagan Similkameen,Summerland Mun,RCMP Municipal,,,,
Peace River,Chetwynd Prov,RCMP Provincial,,,,
Peace River,Dawson Creek Mun,RCMP Municipal,,,,
Peace River,Dawson Creek Prov,RCMP Provincial,,,,
Peace River,Fort St John Mun,RCMP Municipal,,,,
Peace River,Fort St John Prov,RCMP Provincial,,,,
Peace River,Hudson's Hope Prov,RCMP Provincial,,,,
Peace River,Tumbler Ridge Prov,RCMP Provincial,,,,
qathet (2),Powell River Mun,RCMP Municipal,,,,
qathet (2),Powell River Prov,RCMP Provincial,,,,
qathet (2),Texada Island Prov,RCMP Provincial,,,,
Squamish Lillooet,Lillooet Prov,RCMP Provincial,,,,
Squamish Lillooet,Pemberton Prov,RCMP Provincial,,,,
Squamish Lillooet,Squamish Mun (10),RCMP Municipal,,,,
Squamish Lillooet,Squamish Prov,RCMP Provincial,,,,
Squamish Lillooet,Stl'atl'imx FNAPS (17),First Nations Administered Police Service ,,,,
Squamish Lillooet,Whistler Mun,RCMP Municipal,,,,
Squamish Lillooet,Whistler Prov,RCMP Provincial,,,,
Strathcona,Campbell River Mun,RCMP Municipal,,,,
Strathcona,Campbell River Prov,RCMP Provincial,,,,
Strathcona,Nootka Sound Prov,RCMP Provincial,,,,
Strathcona,Quadra Island Prov,RCMP Provincial,,,,
Strathcona,Sayward Prov,RCMP Provincial,,,,
Sunshine Coast,Sechelt Mun,RCMP Municipal,,,,
Sunshine Coast,Sunshine Coast Prov,RCMP Provincial,,,,
Thompson Nicola,Ashcroft Prov,RCMP Provincial,,,,
Thompson Nicola,Barriere Prov,RCMP Provincial,,,,
Thompson Nicola,Chase Prov,RCMP Provincial,,,,
Thompson Nicola,Clearwater Prov,RCMP Provincial,,,,
Thompson Nicola,Clinton Prov,RCMP Provincial,,,,
Thompson Nicola,Kamloops Mun,RCMP Municipal,,,,
Thompson Nicola,Logan Lake Prov,RCMP Provincial,,,,
Thompson Nicola,Lytton Prov,RCMP Provincial,,,,
Thompson Nicola,Merritt Mun,RCMP Municipal,,,,
Thompson Nicola,Merritt Prov,RCMP Provincial,,,,
Thompson Nicola,T'Kumlups Prov,RCMP Provincial,,,,
